EPOCHS_TMIN,EPOCHS_LENGTH,EPOCHS_EMPTY_FROM_MVT_TMINS,FMIN,FMAX,CLASSIFIER,RANDOM_STATE,N_SPLIT,NUMBER_OF_SESSIONS,score_A,score_B,score_C,score_X,duration,memory
-0.5,0.5,-3.0,1,40,SVC,42,4,89,0.7503223516033886,0.7402385081247491,0.6785151487116823,0.7494873908509544,734.2792897224426,1608.9140625
-1.0,1.0,-3.0,1,40,SVC,42,4,89,0.784216226958564,0.7570725804609962,0.6639876772099189,0.7761064308400344,749.0947909355164,2059.21484375
0.0,2.0,-3.0,1,40,SVC,42,4,89,0.7317877969696551,0.7051403962357565,0.6158885945763516,0.7317484417461073,772.2336504459381,2899.4375
-0.5,2.5,-3.0,1,40,SVC,42,4,89,0.7198381669425239,0.6962403308047831,0.6103054428354244,0.7171180188255897,766.50923371315,3390.8359375
-1.0,3.0,-3.0,1,40,SVC,42,4,89,0.6334190511343154,0.6635252496590722,0.5967445379940386,0.6224294843620419,797.4310300350189,3880.375
0.0,4.0,-3.0,1,40,SVC,42,4,89,0.5449956478360752,0.6055604485028775,0.5738391387584356,0.5391744397653873,829.1980292797089,4909.24609375
-0.5,4.5,-3.0,1,40,SVC,42,4,89,0.4670548031301429,0.5783678496513671,0.5546747359617821,0.4637455150990119,822.5989112854004,5412.8828125
-1.0,5.0,-3.0,1,40,SVC,42,4,89,0.3790317304535254,0.5430554132114014,0.5358576055865465,0.3757519697044865,878.3370251655579,5839.93359375
0.0,1.0,-3.5,1,40,SVC,42,4,89,0.8013874387032783,0.7700317100123628,0.6959166398338519,0.7981429880404471,810.9232716560364,2061.2109375
-0.5,1.5,-3.5,1,40,SVC,42,4,89,0.8319748296105773,0.8022553488055022,0.6954786568703548,0.8267554127491342,796.0390176773071,2446.66015625
-1.0,2.0,-3.5,1,40,SVC,42,4,89,0.8266647637767275,0.800947631695188,0.6885208367335384,0.8232097489407627,767.3316295146942,3161.0546875
0.0,3.0,-3.5,1,40,SVC,42,4,89,0.6407248571963997,0.6282322839869303,0.5683494631325602,0.6304450270591401,839.2429745197296,3963.81640625
-0.5,3.5,-3.5,1,40,SVC,42,4,89,0.6040767749872757,0.619802266842034,0.5647961382202169,0.5961377361760327,882.1898889541626,4450.3359375
-1.0,4.0,-3.5,1,40,SVC,42,4,89,0.5306843272252701,0.5946856632358504,0.5546675087565965,0.5277359563775694,836.2621812820435,4918.57421875
0.0,5.0,-3.5,1,40,SVC,42,4,89,0.5210671324707563,0.6037707887400316,0.573804110523445,0.5231749349288082,886.5428516864777,5837.9453125
-0.5,0.5,-4.0,1,40,SVC,42,4,89,0.7702474691513224,0.750434754175144,0.6956142045035663,0.7636027113302661,781.576465845108,2305.48828125
-1.0,1.0,-4.0,1,40,SVC,42,4,89,0.7950360486010886,0.7721381387919082,0.6870551155025235,0.7866562946579132,750.3603630065918,3164.55859375
0.0,2.0,-4.0,1,40,SVC,42,4,89,0.7600184563991209,0.7303941907179228,0.6424729458624236,0.7564559238871111,811.2590582370758,2876.265625
-0.5,2.5,-4.0,1,40,SVC,42,4,89,0.7959311303261483,0.7590430423717325,0.6549959305367021,0.7871369781252704,808.9932174682617,3594.45703125
-1.0,3.0,-4.0,1,40,SVC,42,4,89,0.7909970448097534,0.7572667850906871,0.6459623858496031,0.793016110496898,832.1051869392395,3981.91015625
0.0,4.0,-4.0,1,40,SVC,42,4,89,0.5746850946141183,0.594538421928579,0.5561994473392198,0.5760387587498278,834.4442236423492,5085.625
-0.5,4.5,-4.0,1,40,SVC,42,4,89,0.5255286102393283,0.5840082801305333,0.5460813429838139,0.5203522674671512,876.9569272994995,5342.8671875
-1.0,5.0,-4.0,1,40,SVC,42,4,89,0.4720192384870036,0.5707154076454584,0.5376811712085836,0.4606891103470901,889.3256375789642,5910.76171875
0.0,1.0,-4.5,1,40,SVC,42,4,89,0.8074396666834366,0.7804207284334238,0.6963929824993161,0.8066503099837825,791.7739944458008,2099.41015625
-0.5,1.5,-4.5,1,40,SVC,42,4,89,0.8392993135468951,0.8150500252697015,0.7134575455288664,0.834915300907759,745.152336359024,3177.26953125
-1.0,2.0,-4.5,1,40,SVC,42,4,89,0.8483577414344197,0.8116564697226393,0.7091796383964668,0.8378807287730051,799.5195782184601,3065.4921875
0.0,3.0,-4.5,1,40,SVC,42,4,89,0.6774995241131005,0.6602879240409398,0.5872273661259251,0.6703090971213758,824.7529451847076,3985.1640625
-0.5,3.5,-4.5,1,40,SVC,42,4,89,0.6914582153922555,0.6714672598203614,0.5923375388158812,0.6873522624160027,831.7312698364258,4500.0
-1.0,4.0,-4.5,1,40,SVC,42,4,89,0.6568502484940058,0.6562328731008594,0.5798973649115042,0.6509765072332958,832.0241484642029,5129.82421875
0.0,5.0,-4.5,1,40,SVC,42,4,89,0.518438235606232,0.5781790721533975,0.5515672500193598,0.5192374943541795,889.769273519516,5924.73828125
-0.5,0.5,-5.0,1,40,SVC,42,4,89,0.7724107628023724,0.7632435231960188,0.7006624544390722,0.7785611857536927,775.020512342453,2695.65234375
-1.0,1.0,-5.0,1,40,SVC,42,4,89,0.7812492972729589,0.7732692569931768,0.6876800891219486,0.77814836209606,781.157320022583,2643.2734375
0.0,2.0,-5.0,1,40,SVC,42,4,89,0.7722508228021271,0.7386514147469029,0.6524046228818012,0.7644136354308859,766.8343818187714,3196.234375
-0.5,2.5,-5.0,1,40,SVC,42,4,89,0.8010843254042556,0.766823961792265,0.6638688151496235,0.796878638787373,813.1012222766876,3650.8125
-1.0,3.0,-5.0,1,40,SVC,42,4,89,0.8167323636266337,0.7770094896579647,0.6668370480241959,0.8152718265306478,824.5329988002777,4016.703125
0.0,4.0,-5.0,1,40,SVC,42,4,89,0.607065685352921,0.6107627875770476,0.5562203518727356,0.6076366397100692,858.7062335014343,4984.3515625
-0.5,4.5,-5.0,1,40,SVC,42,4,89,0.6013104142334282,0.6134987857953373,0.5523459696943285,0.5957995570758357,844.4785029888153,5568.265625
-1.0,5.0,-5.0,1,40,SVC,42,4,89,0.5568877052874511,0.5968130199234725,0.5536449738233016,0.5479734040273108,898.3844664096832,5814.38671875
